step	trial	trial_id	layout	uid	control	coordination	variableExplicabilite	time_elapsed	score	human_action_count	agent_action_count	agent_stuck_loop	hl_switch	agent_interact_count	human_interact_count	achieved_orders_len	bloc	trialuidQPT	median_interactioncount	median_time_elapsed	AtoH	HtoA	coll_tot	median_collisions	ContributionRelativeHuman	ContributionUtile	Min	Max	MMControlold	EfficacHuman	EfficacRobot	Coordinationbinary	Explicabilitebinary	InteracCoordExplic	InteractionbyActionUnit	TimeforInteraction	MoyHumanInteractByLayout	MoyAgentInteractByLayout	AgentinteractstandardLayout	HumanInteractStandardLayout	MoyHumanActionByLayout	MoyAgentActionByLayout	HumanActionStandarLayout	AgentActionStandardLayout	EfficaciteHumanLayout	MMEfficaciteHumanLayout	EfficaciteAgentLayout	MMEfficaciteAgentLayout	MoyTimeByLayout	TimeElapsedcontrolledforLayout	MinParticipant	MaxParticipant	MMControl	NbDeplacementBylayout	MincontrolLayout	MaxControlLayout	MoycontrolByLayout	MMControlLayout	ZscoreControlLayout	ControlByNbDeplacement	Z_coordination	Z_explicability	Z_time	Z_Deplacement	Efficacite(InteractionsDivByAction)	Z_Deplacement_Categ	Explained_dummy
2	0	5cf9179b8c98dc0001d5a431_2QPT0	recipe_trial2_1	5cf9179b8c98dc0001d5a431	3	Unforced_coordination	Non-Explique	71,93464971	34	104	177	15	3	27	29	6	2	5cf9179b8c98dc0001d5a431_bloc_2_trial_0_cond_Non-Explique	Large_contribution	Low_game	19	1	20	Few_collisions	0,517857143	1,074074074	1	4	0,666666667	0,403143688	0,375340675	-0,5	-0,5	0,25	3,586206897	20,0587004	25,82022472	40,16853933	-13,16853933	3,179775281	210,1235955	177,6404494	-106,1235955	-0,640449438	-33,3745583	0,522405754	0,048634812	0,647061049	72,42477149	-0,49012178	1	4	0,666666667	21	0	4	2,372093023	0,75	0,627906977	0,142857143	-0,504279601	-0,485734665	11,44611525	5,057061341	0,278846154	5,057061341	0
2	0	6102de6a11e4443a9ec8717e_2QPT0	recipe_trial2_1	6102de6a11e4443a9ec8717e	4	Unforced_coordination	Non-Explique	89,58254552	34	133	220	29	2	30	35	6	2	6102de6a11e4443a9ec8717e_bloc_2_trial_0_cond_Non-Explique	Large_contribution	Low_game	115	50	165	Lot_of_collisions	0,538461538	1,166666667	2	4	1	0,39070111	0,334886666	-0,5	-0,5	0,25	3,8	23,57435408	25,82022472	40,16853933	-10,16853933	9,179775281	210,1235955	177,6404494	-77,12359551	42,35955056	-8,401468788	0,544612515	-4,165745856	0,641110215	72,42477149	17,15777403	2	4	1	21	0	4	2,372093023	1	1,627906977	0,19047619	-0,504279601	-0,485734665	29,09401106	5,057061341	0,263157895	5,057061341	0
3	0	5f4fb87aaa1c4e0a71d7f265_3QPT0	recipe_trial3_1	5f4fb87aaa1c4e0a71d7f265	3	Unforced_coordination	Non-Explique	70,82087159	34	166	172	15	2	26	42	6	3	5f4fb87aaa1c4e0a71d7f265_bloc_3_trial_0_cond_Non-Explique	Large_contribution	Low_game	41	14	55	Few_collisions	0,617647059	1,615384615	1	3	1	0,593045511	0,367123412	-0,5	-0,5	0,25	3,952380952	17,91853378	27,30588235	39,35294118	-13,35294118	14,69411765	211,9647059	171,6470588	-45,96470588	0,352941176	-3,128102482	0,549301738	-0,026431718	0,646955053	70,27551673	0,545354857	1	3	1	21	0	4	2,494117647	0,75	0,505882353	0,142857143	-0,504279601	-0,485734665	10,33233714	5,057061341	0,253012048	5,057061341	0
3	1	5fae9fb7468d8e07d3163fb1_3QPT1	recipe_trial3_1	5fae9fb7468d8e07d3163fb1	3	Unforced_coordination	Non-Explique	62,89121461	34	142	155	34	6	23	33	6	3	5fae9fb7468d8e07d3163fb1_bloc_3_trial_1_cond_Non-Explique	Large_contribution	Low_game	5	20	25	Few_collisions	0,589285714	1,434782609	1	4	0,666666667	0,524715578	0,365710857	-0,5	-0,5	0,25	4,303030303	14,61556396	27,30588235	39,35294118	-16,35294118	5,694117647	211,9647059	171,6470588	-69,96470588	-16,64705882	-12,28719008	0,541157224	1,017985612	0,648429802	70,27551673	-7,384302125	1	4	0,666666667	21	0	4	2,494117647	0,75	0,505882353	0,142857143	-0,504279601	-0,485734665	2,402680154	5,057061341	0,232394366	5,057061341	0
3	3	5cf9179b8c98dc0001d5a431_3QPT3	recipe_trial3_1	5cf9179b8c98dc0001d5a431	1	Unforced_coordination	Non-Explique	83,00796223	34	133	205	69	19	32	29	6	3	5cf9179b8c98dc0001d5a431_bloc_3_trial_3_cond_Non-Explique	Large_contribution	Low_game	77	24	101	Lot_of_collisions	0,475409836	0,90625	1	4	0	0,349364076	0,385505187	-0,5	-0,5	0,25	4,586206897	18,09948049	27,30588235	39,35294118	-7,352941176	1,694117647	211,9647059	171,6470588	-78,96470588	33,35294118	-46,61111111	0,510635445	-4536	0,640587405	70,27551673	12,73244549	1	4	0	21	0	4	2,494117647	0,25	-1,494117647	0,047619048	-0,504279601	-0,485734665	22,51942777	5,057061341	0,218045113	5,057061341	0
4	0	6078faf293b3e134b7c5a943_4QPT0	recipe_trial4_1	6078faf293b3e134b7c5a943	3	Unforced_coordination	Explique	82,14197779	34	131	199	20	5	30	28	6	4	6078faf293b3e134b7c5a943_bloc_4_trial_0_cond_Explique	Large_contribution	Low_game	70	47	117	Lot_of_collisions	0,482758621	0,933333333	1	4	0,666666667	0,340873214	0,365221301	-0,5	0,5	-0,25	4,678571429	17,55706395	26,91463415	38,93902439	-8,93902439	1,085365854	210	168,9390244	-79	30,06097561	-72,78651685	0,487359551	-3,362892224	0,642243869	69,02413615	13,11784163	1	4	0,666666667	21	0	4	2,56097561	0,75	0,43902439	0,142857143	-0,504279601	0,514265335	21,65344333	5,057061341	0,213740458	5,057061341	1
3	1	603e2822880ceee0b88f55ff_3QPT1	recipe_trial3_1	603e2822880ceee0b88f55ff	4	Unforced_coordination	Explique	61,40735936	34	142	149	22	8	23	31	6	3	603e2822880ceee0b88f55ff_bloc_3_trial_1_cond_Explique	Large_contribution	Low_game	22	8	30	Few_collisions	0,574074074	1,347826087	1	4	1	0,504825485	0,374547941	-0,5	0,5	-0,25	4,580645161	13,40583197	27,30588235	39,35294118	-16,35294118	3,694117647	211,9647059	171,6470588	-69,96470588	-22,64705882	-18,93949045	0,535241815	1,384892086	0,648947885	70,27551673	-8,868157373	1	4	1	21	0	4	2,494117647	1	1,505882353	0,19047619	-0,504279601	0,514265335	0,918824907	5,057061341	0,218309859	5,057061341	1
4	0	60f06a479c4f3ec0a536d40a_4QPT0	recipe_trial4_1	60f06a479c4f3ec0a536d40a	2	Unforced_coordination	Non-Explique	70,40915656	34	141	173	18	3	28	30	6	4	60f06a479c4f3ec0a536d40a_bloc_4_trial_0_cond_Non-Explique	Large_contribution	Low_game	31	5	36	Few_collisions	0,517241379	1,071428571	1	4	0,333333333	0,426080946	0,397675549	-0,5	-0,5	0,25	4,7	14,98067161	26,91463415	38,93902439	-10,93902439	3,085365854	210	168,9390244	-69	4,06097561	-22,36363636	0,53219697	-0,371237458	0,646468176	69,02413615	1,385020407	1	4	0,333333333	21	0	4	2,56097561	0,5	-0,56097561	0,095238095	-0,504279601	-0,485734665	9,920622106	5,057061341	0,212765957	5,057061341	0
4	3	610d97bf0ee9babdb89986ea_4QPT3	recipe_trial4_1	610d97bf0ee9babdb89986ea	1	Unforced_coordination	Non-Explique	68,96615052	34	169	167	65	14	23	37	6	4	610d97bf0ee9babdb89986ea_bloc_4_trial_3_cond_Non-Explique	Large_contribution	Low_game	53	29	82	Lot_of_collisions	0,616666667	1,608695652	0	3	0,333333333	0,536495074	0,333496938	-0,5	-0,5	0,25	4,567567568	15,09909804	26,91463415	38,93902439	-15,93902439	10,08536585	210	168,9390244	-41	-1,93902439	-4,065296252	0,54846836	0,12165264	0,647164152	69,02413615	-0,057985631	0	3	0,333333333	21	0	4	2,56097561	0,25	-1,56097561	0,047619048	-0,504279601	-0,485734665	8,477616067	5,057061341	0,218934911	5,057061341	0
2	1	5e8783b0fde5153fbd9dca43_2QPT1	recipe_trial2_1	5e8783b0fde5153fbd9dca43	2	Unforced_coordination	Non-Explique	78,44068384	34	149	192	42	8	33	30	6	2	5e8783b0fde5153fbd9dca43_bloc_2_trial_1_cond_Non-Explique	Large_contribution	Low_game	57	36	93	Lot_of_collisions	0,476190476	0,909090909	1	4	0,333333333	0,382454595	0,420700055	-0,5	-0,5	0,25	4,966666667	15,79342628	25,82022472	40,16853933	-7,168539326	4,179775281	210,1235955	177,6404494	-61,12359551	14,35955056	-14,62365591	0,539079574	-2,003134796	0,644163888	72,42477149	6,015912355	1	4	0,333333333	21	0	4	2,372093023	0,5	-0,372093023	0,095238095	-0,504279601	-0,485734665	17,95214939	5,057061341	0,201342282	5,057061341	0
